Nome da Variável,Descrição da Variável,Categoria
QT_EQUIP_TV,Quantidade de Aparelhos de televisão,88888 - registro com marcação de valor extremo (valor superior ao limite máximo de 4 equipamentos para cada 3 salas existentes - foram marcados apenas valores>3)
IN_EQUIP_LOUSA_DIGITAL,Equipamentos existentes na escola para o processo ensino e aprendizagem - Lousa digital,"0 - Não
1 - Sim"
QT_EQUIP_LOUSA_DIGITAL,Quantidade de Lousas digitais,88888 - registro com marcação de valor extremo (valor superior ao limite máximo de 4 equipamentos para cada 3 salas existentes - foram marcados apenas valores>3)
IN_EQUIP_MULTIMIDIA,Equipamentos existentes na escola para o processo ensino e aprendizagem - Projetor Multimídia (Datashow),"0 - Não
1 - Sim"
QT_EQUIP_MULTIMIDIA,Quantidade de Projetores Multimídia (Datashow),88888 - registro com marcação de valor extremo (valor superior ao limite máximo de 4 equipamentos para cada 3 salas existentes - foram marcados apenas valores>3)
IN_EQUIP_VIDEOCASSETE,Equipamentos existentes na escola - Videocassete,"0 - Não
1 - Sim"
IN_EQUIP_RETROPROJETOR,Equipamentos existentes na escola - Retroprojetor,"0 - Não
1 - Sim"
IN_EQUIP_FAX,Equipamentos existentes na escola - Fax,"0 - Não
1 - Sim"
IN_EQUIP_FOTO,Equipamentos existentes na escola - Máquina fotográfica/Filmadora,"0 - Não
1 - Sim"
QT_EQUIP_VIDEOCASSETE,Quantidade de Videocassetes,
QT_EQUIP_PARABOLICA,Quantidade de Antenas parabólicas,
QT_EQUIP_COPIADORA,Quantidade de Copiadoras,
QT_EQUIP_RETROPROJETOR,Quantidade de Retroprojetores,
QT_EQUIP_IMPRESSORA,Quantidade de Impressoras,
QT_EQUIP_IMPRESSORA_MULT,Quantidade de Impressoras Multifuncionais,
QT_EQUIP_FAX,Quantidade de Fax,
QT_EQUIP_FOTO,Quantidade de Máquinas Fotográficas/ Filmadoras,
QT_COMP_ALUNO,Quantidade de computadores em uso pelos alunos,"  - Não aplicável para escolas que não possuem
    computador"
IN_DESKTOP_ALUNO,Computadores em uso pelos alunos - Computador de mesa (desktop),"0 - Não
1 - Sim"
QT_DESKTOP_ALUNO,Quantidade de computadores em uso pelos alunos - Computador de mesa (desktop),88888 - registro com marcação de valor extremo (valor superior ao limite máximo de 4 equipamentos para cada 3 matrículas - foram marcados apenas valores>3)
IN_COMP_PORTATIL_ALUNO,Computadores em uso pelos alunos - Computador portátil,"0 - Não
1 - Sim"
QT_COMP_PORTATIL_ALUNO,Quantidade de computadores em uso pelos alunos - Computador portátil,88888 - registro com marcação de valor extremo (valor superior ao limite máximo de 4 equipamentos para cada 3 matrículas - foram marcados apenas valores>3)
IN_TABLET_ALUNO,Computadores em uso pelos alunos - Tablet,"0 - Não
1 - Sim"
QT_TABLET_ALUNO,Quantidade de computadores em uso pelos alunos - Tablet,88888 - registro com marcação de valor extremo (valor superior ao limite máximo de 4 equipamentos para cada 3 matrículas - foram marcados apenas valores>3)
QT_COMPUTADOR,Quantidade de computadores na escola,
QT_COMP_ADMINISTRATIVO,Quantidade de computadores de uso administrativo,
IN_INTERNET,Acesso à Internet,"0 - Não
1 - Sim"
