REGIAO,UF,DEPENDENCIA_ADM,LOUSA_DIGITAL,COMP_MESA,COMP_PORTATIL,TABLET,MATRICULAS,TOTAL_EQUIPAMENTOS,TIPO_ESCOLA,EQP_POR_ALUNO
Norte,RO,3,1.0,28,1,1,597,31.0,Pública,0.051926298157453935
Norte,RO,3,1.0,15,3,0,93,19.0,Pública,0.20430107526881722
Norte,RO,4,0.0,4,0,0,308,4.0,Privada,0.012987012987012988
Norte,RO,4,0.0,2,0,0,806,2.0,Privada,0.0024813895781637717
Norte,RO,4,0.0,10,0,0,52,10.0,Privada,0.19230769230769232
Norte,RO,3,0.0,0,1,0,135,1.0,Pública,0.007407407407407408
Norte,RO,3,0.0,15,0,0,191,15.0,Pública,0.07853403141361257
Norte,RO,2,1.0,19,40,0,681,60.0,Pública,0.0881057268722467
Norte,RO,4,0.0,108,3,2,139,113.0,Privada,0.8129496402877698
Norte,RO,4,0.0,37,21,11,56,69.0,Privada,1.2321428571428572
Norte,RO,4,0.0,0,4,0,354,4.0,Privada,0.011299435028248588
Norte,RO,2,0.0,19,0,0,378,19.0,Pública,0.05026455026455026
Norte,RO,3,1.0,13,2,0,326,16.0,Pública,0.049079754601226995
Norte,RO,4,0.0,0,8,0,259,8.0,Privada,0.03088803088803089
Norte,RO,4,0.0,21,0,0,281,21.0,Privada,0.07473309608540925
Norte,RO,4,0.0,1,0,0,47,1.0,Privada,0.02127659574468085
Norte,RO,4,0.0,10,0,0,59,10.0,Privada,0.1694915254237288
Norte,RO,3,0.0,0,0,0,346,0.0,Pública,0.0
Norte,RO,1,1.0,120,0,0,567,121.0,Pública,0.21340388007054673
Norte,RO,2,0.0,38,3,0,61,41.0,Pública,0.6721311475409836
Norte,RO,3,0.0,0,1,0,73,1.0,Pública,0.0136986301369863
Norte,RO,3,0.0,0,0,0,55,0.0,Pública,0.0
Norte,RO,2,0.0,34,2,0,44,36.0,Pública,0.8181818181818182
Norte,RO,3,0.0,0,0,0,54,0.0,Pública,0.0
Norte,RO,2,1.0,19,2,0,66,22.0,Pública,0.3333333333333333
Norte,RO,2,0.0,19,2,0,432,21.0,Pública,0.04861111111111111
Norte,RO,3,0.0,12,0,0,404,12.0,Pública,0.0297029702970297
Norte,RO,4,0.0,75,67,0,410,142.0,Privada,0.3463414634146341
Norte,RO,2,1.0,19,5,0,613,25.0,Pública,0.040783034257748776
Norte,RO,3,0.0,0,2,0,95,2.0,Pública,0.021052631578947368
Norte,RO,2,0.0,24,14,0,249,38.0,Pública,0.15261044176706828
Norte,RO,2,0.0,26,0,0,781,26.0,Pública,0.03329065300896287
Norte,RO,2,1.0,43,3,0,593,47.0,Pública,0.07925801011804384
Norte,RO,3,1.0,1,2,2,383,6.0,Pública,0.015665796344647518
Norte,RO,2,1.0,19,50,2,889,72.0,Pública,0.08098987626546682
Norte,RO,3,0.0,0,2,0,135,2.0,Pública,0.014814814814814815
Norte,RO,4,1.0,58,15,225,1205,299.0,Privada,0.24813278008298756
Norte,RO,2,0.0,21,2,1,507,24.0,Pública,0.047337278106508875
Norte,RO,2,1.0,25,2,0,529,28.0,Pública,0.052930056710775046
Norte,RO,2,0.0,40,2,0,258,42.0,Pública,0.16279069767441862
Norte,RO,2,0.0,4,0,0,37,4.0,Pública,0.10810810810810811
Norte,RO,2,1.0,19,0,0,460,20.0,Pública,0.043478260869565216
Norte,RO,3,0.0,0,0,0,78,0.0,Pública,0.0
Norte,RO,2,0.0,23,2,1,359,26.0,Pública,0.07242339832869081
Norte,RO,3,0.0,1,0,0,113,1.0,Pública,0.008849557522123894
Norte,RO,3,0.0,1,1,0,228,2.0,Pública,0.008771929824561403
Norte,RO,3,0.0,5,0,0,107,5.0,Pública,0.04672897196261682
Norte,RO,3,0.0,0,0,7,208,7.0,Pública,0.03365384615384615
Norte,RO,3,1.0,0,0,2,630,3.0,Pública,0.004761904761904762
Norte,RO,3,0.0,0,0,0,189,0.0,Pública,0.0
Norte,RO,2,0.0,5,0,0,13,5.0,Pública,0.38461538461538464
Norte,RO,2,0.0,2,0,0,84,2.0,Pública,0.023809523809523808
Norte,RO,2,0.0,5,0,0,25,5.0,Pública,0.2
Norte,RO,4,1.0,70,45,0,911,116.0,Privada,0.12733260153677278
Norte,RO,2,0.0,40,2,4,982,46.0,Pública,0.04684317718940937
Norte,RO,2,0.0,23,1,0,1081,24.0,Pública,0.022201665124884366
Norte,RO,2,1.0,19,0,0,207,20.0,Pública,0.0966183574879227
Norte,RO,4,0.0,35,5,0,243,40.0,Privada,0.1646090534979424
Norte,RO,4,1.0,12,23,10,165,46.0,Privada,0.2787878787878788
Norte,RO,3,1.0,22,0,0,818,23.0,Pública,0.028117359413202935
Norte,RO,3,1.0,1,1,3,504,6.0,Pública,0.011904761904761904
Norte,RO,2,0.0,1,0,0,4,1.0,Pública,0.25
Norte,RO,2,0.0,10,0,0,37,10.0,Pública,0.2702702702702703
Norte,RO,2,0.0,3,0,0,35,3.0,Pública,0.08571428571428572
Norte,RO,3,1.0,30,24,0,304,55.0,Pública,0.18092105263157895
Norte,RO,3,0.0,3,0,0,434,3.0,Pública,0.0069124423963133645
Norte,RO,3,0.0,0,0,0,177,0.0,Pública,0.0
Norte,RO,4,0.0,25,1,88888,67,88914.0,Privada,1327.0746268656717
Norte,RO,3,0.0,0,0,0,234,0.0,Pública,0.0
Norte,RO,2,0.0,48,0,0,385,48.0,Pública,0.12467532467532468
Norte,RO,3,0.0,0,0,0,187,0.0,Pública,0.0
Norte,RO,3,0.0,0,0,0,218,0.0,Pública,0.0
Norte,RO,3,0.0,0,1,0,190,1.0,Pública,0.005263157894736842
Norte,RO,4,0.0,0,0,0,144,0.0,Privada,0.0
Norte,RO,4,0.0,75,27,0,120,102.0,Privada,0.85
Norte,RO,3,0.0,0,0,0,311,0.0,Pública,0.0
Norte,RO,2,0.0,7,0,0,33,7.0,Pública,0.21212121212121213
Norte,RO,4,0.0,25,1,111,327,137.0,Privada,0.41896024464831805
Norte,RO,4,0.0,11,11,0,479,22.0,Privada,0.04592901878914405
Norte,RO,4,0.0,0,0,0,133,0.0,Privada,0.0
Norte,RO,4,0.0,23,0,0,561,23.0,Privada,0.040998217468805706
Norte,RO,3,0.0,0,0,0,252,0.0,Pública,0.0
Norte,RO,3,0.0,0,0,0,173,0.0,Pública,0.0
Norte,RO,2,0.0,0,0,0,12,0.0,Pública,0.0
Norte,RO,3,0.0,0,0,0,281,0.0,Pública,0.0
Norte,RO,3,0.0,0,0,0,266,0.0,Pública,0.0
Norte,RO,4,0.0,0,3,15,80,18.0,Privada,0.225
Norte,RO,4,0.0,55,0,5,196,60.0,Privada,0.30612244897959184
Norte,RO,1,1.0,135,0,0,567,136.0,Pública,0.23985890652557318
Norte,RO,3,1.0,2,2,0,301,5.0,Pública,0.016611295681063124
Norte,RO,2,0.0,23,0,0,303,23.0,Pública,0.07590759075907591
Norte,RO,3,0.0,24,0,0,171,24.0,Pública,0.14035087719298245
Norte,RO,2,1.0,19,0,0,93,20.0,Pública,0.21505376344086022
Norte,RO,2,1.0,31,3,1,359,36.0,Pública,0.10027855153203342
Norte,RO,3,0.0,0,0,0,244,0.0,Pública,0.0
Norte,RO,2,1.0,23,9,0,345,33.0,Pública,0.09565217391304348
Norte,RO,3,0.0,1,0,0,361,1.0,Pública,0.002770083102493075
Norte,RO,2,1.0,32,0,0,583,33.0,Pública,0.05660377358490566
Norte,RO,2,1.0,30,3,0,345,34.0,Pública,0.09855072463768116
Norte,RO,3,0.0,0,0,0,485,0.0,Pública,0.0
Norte,RO,4,0.0,34,21,0,148,55.0,Privada,0.3716216216216216
Norte,RO,3,1.0,0,0,0,246,1.0,Pública,0.0040650406504065045
Norte,RO,3,0.0,0,0,0,196,0.0,Pública,0.0
Norte,RO,3,0.0,0,0,0,183,0.0,Pública,0.0
Norte,RO,4,0.0,10,2,0,38,12.0,Privada,0.3157894736842105
Norte,RO,3,0.0,0,0,0,83,0.0,Pública,0.0
Norte,RO,2,1.0,21,6,6,153,34.0,Pública,0.2222222222222222
Norte,RO,3,0.0,0,0,0,322,0.0,Pública,0.0
Norte,RO,3,0.0,0,5,2,387,7.0,Pública,0.01808785529715762
Norte,RO,3,0.0,0,7,2,186,9.0,Pública,0.04838709677419355
Norte,RO,4,0.0,4,2,0,59,6.0,Privada,0.1016949152542373
Norte,RO,3,0.0,1,8,1,60,10.0,Pública,0.16666666666666666
Norte,RO,3,0.0,3,5,1,89,9.0,Pública,0.10112359550561797
Norte,RO,3,1.0,20,3,2,300,26.0,Pública,0.08666666666666667
Norte,RO,3,1.0,23,5,2,109,31.0,Pública,0.28440366972477066
Norte,RO,3,0.0,5,2,1,66,8.0,Pública,0.12121212121212122
Norte,RO,3,0.0,27,4,1,171,32.0,Pública,0.1871345029239766
